,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
200,0.5,500.0,0.18233731739707834,0.19808465466055256,0.11771049740924944,0.22331249107520657,0.12622144281624748
201,0.5,1000.0,0.17569721115537848,0.23580566968233363,0.23483949685002892,0.36258074820895325,0.12663747250849122
202,0.5,500.0,0.18187250996015936,0.24530292146922028,0.35342109877982536,0.48564778388538493,0.13036507046798784
203,0.5,1000.0,0.17051792828685258,0.2190709254600563,0.30901476079469864,0.41397131454674596,0.11895047142442694
204,0.5,500.0,0.17669322709163346,0.16840390489400764,0.07389422563377845,0.155482131062606,0.12509481274561718
205,0.5,1000.0,0.17244355909694556,0.2223993034130422,0.24945120415205546,0.3641078427041303,0.12603775988992738
206,0.5,500.0,0.17729083665338646,0.15989148405072745,0.11693535718998249,0.19166780707169767,0.13081526113255038
207,0.5,1000.0,0.1691899070385126,0.1849304938551271,0.17920476439907207,0.2661125998272336,0.12574014019157542
208,0.5,500.0,0.17669322709163346,0.13647829982906876,0.05341670041601676,0.1105986386918753,0.12630318442646404
209,0.5,1000.0,0.17098273572377157,0.13965464841669709,0.021169839105567023,0.07857269272876222,0.12054660925670879
210,0.5,500.0,0.17609561752988048,0.25308257641772397,0.4297344245083686,0.555634277616051,0.11484297055550852
211,0.5,1000.0,0.1696547144754316,0.214421121662989,0.2565868354115126,0.3611988398859334,0.12069023377919996
212,0.5,500.0,0.18127490039840638,0.21197631535339526,0.3854400448747352,0.4830199926312053,0.1173943919959739
213,0.5,1000.0,0.17310756972111555,0.2215694104319666,0.35903386797254283,0.4618236158222564,0.11373118436010787
214,0.5,500.0,0.18180610889774237,0.21395018969168692,0.2714258867129999,0.38318230663098984,0.13147489085288522
215,0.5,1000.0,0.1705843293492696,0.21334742806091392,0.22872519993990803,0.33580909637793976,0.12418460236397533
216,0.5,500.0,0.17297476759628155,0.15879630694815117,0.046964814803178934,0.11549813093526973,0.1117215242469386
217,0.5,1000.0,0.17250996015936254,0.13997300942178875,0.005012421093638864,0.061645020909354975,0.11465678021783232
218,0.5,500.0,0.18426294820717132,0.2373077294405257,0.3089250798702883,0.43200770509454683,0.11608943482968082
219,0.5,1000.0,0.1697211155378486,0.19070781033162199,0.17977369561380313,0.2682264962959792,0.1177678558730324
220,0.55,500.0,0.17310756972111555,0.20812976579915382,0.3264448482307438,0.4199988923844453,0.11342909143989621
